Species                        | TaxID      | Accession           
-----------------------------------------------------------------
Achromobacter xylosoxidans    	Organism Name	Assembly Accession	Organism Taxonomic ID
Achromobacter xylosoxidans    	Achromobacter xylosoxidans	GCF_016728825.1	85698
Acinetobacter                 	Organism Name	Assembly Accession	Organism Taxonomic ID
Acinetobacter                 	Acinetobacter albensis	GCF_900095025.1	1673609
Acinetobacter                 	Acinetobacter amyesii	GCF_023499985.1	2942470
Acinetobacter                 	Acinetobacter apis	GCF_054782275.1	1229165
Acinetobacter                 	Acinetobacter baretiae	GCF_015627105.1	2605383
Acinetobacter                 	Acinetobacter baumannii	GCF_009035845.1	470 
Acinetobacter                 	Acinetobacter baylyi ADP1	GCF_000046845.1	62977
Acinetobacter                 	Acinetobacter beijerinckii CIP 110307	GCF_000369005.1	1217648
Acinetobacter                 	Acinetobacter bereziniae	GCF_016576965.1	106648
Acinetobacter                 	Acinetobacter bohemicus	GCF_058743305.1	1435036
Acinetobacter                 	Acinetobacter boissieri	GCF_900096955.1	1219383
Acinetobacter                 	Acinetobacter bouvetii	GCF_018324105.1	202951
Acinetobacter                 	Acinetobacter brisouii CIP 110357	GCF_000488275.1	1341683
Acinetobacter                 	Acinetobacter brisouioides	GCF_054454475.1	3438471
Acinetobacter                 	Acinetobacter brisouisimilis	GCF_000368265.1	1217714
Acinetobacter                 	Acinetobacter calcoaceticus	GCF_900444805.1	471 
Acinetobacter                 	Acinetobacter celticus	GCF_001707755.1	1891224
Acinetobacter                 	Acinetobacter chengduensis	GCF_003664645.1	2420890
Acinetobacter                 	Acinetobacter chenhuanii	GCF_041021895.1	3157354
Acinetobacter                 	Acinetobacter chinensis	GCF_002165375.2	2004650
Acinetobacter                 	Acinetobacter colistiniresistens	GCF_000413935.1	280145
Acinetobacter                 	Acinetobacter corruptisaponis	GCF_030053775.1	3045147
Acinetobacter                 	Acinetobacter courvalinii	GCF_014635545.1	280147
Acinetobacter                 	Acinetobacter cumulans	GCF_003024525.3	2136182
Acinetobacter                 	Acinetobacter defluvii	GCF_001704615.3	1871111
Acinetobacter                 	Acinetobacter dispersus	GCF_009884975.1	70348
Acinetobacter                 	Acinetobacter endophylla	GCF_053543775.1	3341851
Acinetobacter                 	Acinetobacter entericus	GCF_026168575.1	2989714
Acinetobacter                 	Acinetobacter equi	GCF_001307195.1	1324350
Acinetobacter                 	Acinetobacter faecalis	GCF_034187745.1	2665161
Acinetobacter                 	Acinetobacter gandensis	GCF_001678755.1	1443941
Acinetobacter                 	Acinetobacter geminorum	GCF_013009345.1	2730922
Acinetobacter                 	Acinetobacter gerneri DSM 14967 = CIP 107464 = MTCC 9824	GCF_000368565.1	1120926
Acinetobacter                 	Acinetobacter guerrae	GCF_009372255.1	1843371
Acinetobacter                 	Acinetobacter guillouiae	GCF_002370525.2	106649
Acinetobacter                 	Acinetobacter gyllenbergii	GCF_001682515.1	134534
Acinetobacter                 	Acinetobacter haemolyticus	GCF_003323815.1	29430
Acinetobacter                 	Acinetobacter halobius	GCF_044130335.1	3344663
Acinetobacter                 	Acinetobacter halotolerans	GCF_004208515.1	1752076
Acinetobacter                 	Acinetobacter harbinensis	GCF_000816495.1	1353941
Acinetobacter                 	Acinetobacter higginsii	GCF_000369845.1	70347
Acinetobacter                 	Acinetobacter ihumii	GCF_900625095.1	2483802
Acinetobacter                 	Acinetobacter indicus	GCF_009914475.1	756892
Acinetobacter                 	Acinetobacter johnsonii ANC 3681	GCF_000368805.1	1217662
Acinetobacter                 	Acinetobacter junii	GCF_018336855.1	40215
Acinetobacter                 	Acinetobacter kanungonis	GCF_009939195.1	2699469
Acinetobacter                 	Acinetobacter kookii	GCF_039543765.1	1226327
Acinetobacter                 	Acinetobacter kyonggiensis	GCF_900107285.1	595670
Acinetobacter                 	Acinetobacter lactucae	GCF_013122135.1	1785128
Acinetobacter                 	Acinetobacter lanii	GCF_011578285.1	2715163
Acinetobacter                 	Acinetobacter larvae	GCF_001704115.1	1789224
Acinetobacter                 	Acinetobacter lwoffii	GCF_029024105.1	28090
Acinetobacter                 	Acinetobacter marinus	GCF_900096915.1	281375
Acinetobacter                 	Acinetobacter minutum	GCF_035916735.1	3016358
Acinetobacter                 	Acinetobacter modestus	GCF_000367965.1	1776740
Acinetobacter                 	Acinetobacter nectaris CIP 110549	GCF_000488215.1	1392540
Acinetobacter                 	Acinetobacter nematophilus	GCF_026344175.1	2994642
Acinetobacter                 	Acinetobacter nosocomialis	GCF_041021905.1	106654
Acinetobacter                 	Acinetobacter oleivorans DR1	GCF_000196795.1	436717
Acinetobacter                 	Acinetobacter parvus	GCF_042656365.1	134533
Acinetobacter                 	Acinetobacter pecorum	GCF_014837015.1	2762215
Acinetobacter                 	Acinetobacter pengchengensis	GCF_982235305.1	3434463
Acinetobacter                 	Acinetobacter piscicola	GCF_002233755.1	2006115
Acinetobacter                 	Acinetobacter pittii PHEA-2	GCF_000191145.1	871585
Acinetobacter                 	Acinetobacter pollinis	GCF_015627175.1	2605270
Acinetobacter                 	Acinetobacter populi	GCF_002174125.1	1582270
Acinetobacter                 	Acinetobacter portensis	GCF_010646905.1	1839785
Acinetobacter                 	Acinetobacter pragensis	GCF_001605895.1	1806892
Acinetobacter                 	Acinetobacter proteolyticus	GCF_000367945.1	1776741
Acinetobacter                 	Acinetobacter pseudolwoffii	GCF_042647985.1	2053287
Acinetobacter                 	Acinetobacter pullicarnis	GCF_006352475.1	2576829
Acinetobacter                 	Acinetobacter puyangensis	GCF_039542245.1	1096779
