Name,Accession,Taxid
Achromobacter xylosoxidans,GCF_016728825.1,85698
Acinetobacter albensis,GCF_900095025.1,1673609
Acinetobacter amyesii,GCF_023499985.1,2942470
Acinetobacter apis,GCF_054782275.1,1229165
Acinetobacter baretiae,GCF_015627105.1,2605383
Acinetobacter baumannii,GCF_009035845.1,470
Acinetobacter baylyi ADP1,GCF_000046845.1,62977
Acinetobacter beijerinckii CIP 110307,GCF_000369005.1,1217648
Acinetobacter bereziniae,GCF_016576965.1,106648
Acinetobacter bohemicus,GCF_058743305.1,1435036
Acinetobacter boissieri,GCF_900096955.1,1219383
Acinetobacter bouvetii,GCF_018324105.1,202951
Acinetobacter brisouii CIP 110357,GCF_000488275.1,1341683
Acinetobacter brisouioides,GCF_054454475.1,3438471
Acinetobacter brisouisimilis,GCF_000368265.1,1217714
Acinetobacter calcoaceticus,GCF_900444805.1,471
Acinetobacter celticus,GCF_001707755.1,1891224
Acinetobacter chengduensis,GCF_003664645.1,2420890
Acinetobacter chenhuanii,GCF_041021895.1,3157354
Acinetobacter chinensis,GCF_002165375.2,2004650
Acinetobacter colistiniresistens,GCF_000413935.1,280145
Acinetobacter corruptisaponis,GCF_030053775.1,3045147
Acinetobacter courvalinii,GCF_014635545.1,280147
Acinetobacter cumulans,GCF_003024525.3,2136182
Acinetobacter defluvii,GCF_001704615.3,1871111
Acinetobacter dispersus,GCF_009884975.1,70348
Acinetobacter endophylla,GCF_053543775.1,3341851
Acinetobacter entericus,GCF_026168575.1,2989714
Acinetobacter equi,GCF_001307195.1,1324350
Acinetobacter faecalis,GCF_034187745.1,2665161
Acinetobacter gandensis,GCF_001678755.1,1443941
Acinetobacter geminorum,GCF_013009345.1,2730922
Acinetobacter gerneri DSM 14967 = CIP 107464 = MTCC 9824,GCF_000368565.1,1120926
Acinetobacter guerrae,GCF_009372255.1,1843371
Acinetobacter guillouiae,GCF_002370525.2,106649
Acinetobacter gyllenbergii,GCF_001682515.1,134534
Acinetobacter haemolyticus,GCF_003323815.1,29430
Acinetobacter halobius,GCF_044130335.1,3344663
Acinetobacter halotolerans,GCF_004208515.1,1752076
Acinetobacter harbinensis,GCF_000816495.1,1353941
Acinetobacter higginsii,GCF_000369845.1,70347
Acinetobacter ihumii,GCF_900625095.1,2483802
Acinetobacter indicus,GCF_009914475.1,756892
Acinetobacter johnsonii ANC 3681,GCF_000368805.1,1217662
Acinetobacter junii,GCF_018336855.1,40215
Acinetobacter kanungonis,GCF_009939195.1,2699469
Acinetobacter kookii,GCF_039543765.1,1226327
Acinetobacter kyonggiensis,GCF_900107285.1,595670
Acinetobacter lactucae,GCF_013122135.1,1785128
Acinetobacter lanii,GCF_011578285.1,2715163
Acinetobacter larvae,GCF_001704115.1,1789224
Acinetobacter lwoffii,GCF_029024105.1,28090
Acinetobacter marinus,GCF_900096915.1,281375
Acinetobacter minutum,GCF_035916735.1,3016358
Acinetobacter modestus,GCF_000367965.1,1776740
Acinetobacter nectaris CIP 110549,GCF_000488215.1,1392540
Acinetobacter nematophilus,GCF_026344175.1,2994642
Acinetobacter nosocomialis,GCF_041021905.1,106654
Acinetobacter oleivorans DR1,GCF_000196795.1,436717
Acinetobacter parvus,GCF_042656365.1,134533
Acinetobacter pecorum,GCF_014837015.1,2762215
Acinetobacter pengchengensis,GCF_982235305.1,3434463
